y1,x1_COBYQA,x1_BOBYQA,x1_COBYLA,y2,x2_COBYQA,x2_BOBYQA,x2_COBYLA,y3,x3_COBYQA,x3_BOBYQA,x3_COBYLA,y4,x4_COBYQA,x4_BOBYQA,x4_COBYLA,y5,x5_COBYQA,x5_BOBYQA,x5_COBYLA,y6,x6_COBYQA,x6_BOBYQA,x6_COBYLA,y7,x7_COBYQA,x7_BOBYQA,x7_COBYLA,y8,x8_COBYQA,x8_BOBYQA,x8_COBYLA,y9,x9_COBYQA,x9_BOBYQA,x9_COBYLA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.038461538461538464,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666,0.0,0.2,0.0196078431372549,0.6666666666666666
0.013157894736842105,0.038461538461538464,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666,0.013157894736842105,0.2,0.0196078431372549,0.6666666666666666
0.013157894736842105,0.2,0.038461538461538464,0.6666666666666666,0.013157894736842105,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.1568627450980393,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.013157894736842105,0.6666666666666666,0.3333333333333333,1.3333333333333333
0.02631578947368421,0.2,0.038461538461538464,0.6666666666666666,0.02631578947368421,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.1568627450980393,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.02631578947368421,0.6666666666666666,0.3333333333333333,1.3333333333333333
0.02631578947368421,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.02631578947368421,0.6666666666666666,0.6666666666666666,1.1111111111111112,0.02631578947368421,1.5,0.6666666666666666,1.3333333333333333,0.02631578947368421,1.5,0.6666666666666666,1.5,0.02631578947368421,1.5,0.6666666666666666,1.5,0.02631578947368421,1.5,0.6666666666666666,1.5,0.02631578947368421,1.5,0.6666666666666666,1.5,0.02631578947368421,1.5,0.6666666666666666,1.5,0.02631578947368421,1.5,0.6666666666666666,1.5
0.039473684210526314,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.039473684210526314,0.6666666666666666,0.6666666666666666,1.1111111111111112,0.039473684210526314,1.5,0.6666666666666666,1.3333333333333333,0.039473684210526314,1.5,0.6666666666666666,1.5,0.039473684210526314,1.5,0.6666666666666666,1.5,0.039473684210526314,1.5,0.6666666666666666,1.5,0.039473684210526314,1.5,0.6666666666666666,1.5,0.039473684210526314,1.5,0.6666666666666666,1.5,0.039473684210526314,1.5,0.6666666666666666,1.5
0.039473684210526314,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.039473684210526314,1.5,0.6666666666666666,1.1111111111111112,0.039473684210526314,1.5,1.6666666666666667,1.3333333333333333,0.039473684210526314,1.5,2.0,1.5,0.039473684210526314,1.5,2.0,1.5,0.039473684210526314,1.5,2.0,1.5,0.039473684210526314,1.5,2.0,1.5,0.039473684210526314,1.5,2.0,1.5,0.039473684210526314,1.5,2.0,1.5
0.05263157894736842,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.05263157894736842,1.5,0.6666666666666666,1.1111111111111112,0.05263157894736842,1.5,1.6666666666666667,1.3333333333333333,0.05263157894736842,1.5,2.0,1.5,0.05263157894736842,1.5,2.0,1.5,0.05263157894736842,1.5,2.0,1.5,0.05263157894736842,1.5,2.0,1.5,0.05263157894736842,1.5,2.0,1.5,0.05263157894736842,1.5,2.0,1.5
0.05263157894736842,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.05263157894736842,1.5,1.6666666666666667,1.1176470588235294,0.05263157894736842,1.6666666666666667,2.0,1.5,0.05263157894736842,2.0,2.0,1.6666666666666667,0.05263157894736842,2.0,2.0,1.6666666666666667,0.05263157894736842,2.0,2.0,1.6666666666666667,0.05263157894736842,2.0,2.0,1.6666666666666667,0.05263157894736842,2.0,2.0,1.6666666666666667,0.05263157894736842,2.0,2.0,1.6666666666666667
